Club,G,E,P,PTS,GF,GC,year
Bayern Munich,27,3,4,84,92,28,2018
Bayern Munich,24,6,4,78,88,32,2019
Bayern Munich,26,4,4,82,100,32,2020
Bayern Munich,24,6,4,78,99,44,2021
Bayern Munich,16,1,3,49,65,19,2022
Borussia Dortmund,15,10,9,55,64,47,2018
Borussia Dortmund,23,7,4,76,81,44,2019
Borussia Dortmund,21,6,7,69,84,41,2020
Borussia Dortmund,20,4,10,64,75,46,2021
Borussia Dortmund,14,1,5,43,52,31,2022
Real Madrid,22,10,6,76,94,44,2018
Real Madrid,21,5,12,68,63,46,2019
Real Madrid,26,9,3,87,70,25,2020
Real Madrid,25,9,4,84,67,28,2021
Real Madrid,15,5,2,50,47,20,2022
Barcelona,28,9,1,93,99,29,2018
Barcelona,26,9,3,87,90,36,2019
Barcelona,25,7,6,82,86,38,2020
Barcelona,24,7,7,79,85,38,2021
Barcelona,9,8,4,35,32,23,2022
Manchester City,32,4,2,100,106,27,2018
Manchester City,32,2,4,98,95,23,2019
Manchester City,26,3,9,81,102,35,2020
Manchester City,27,5,6,86,83,32,2021
Manchester City,18,3,2,57,55,14,2022
Liverpool,21,12,5,75,84,38,2018
Liverpool,30,7,1,97,89,22,2019
Liverpool,32,3,3,99,85,33,2020
Liverpool,20,9,9,69,68,42,2021
Liverpool,14,6,2,48,58,19,2022
PSG,29,6,3,93,108,29,2018
PSG,29,4,5,91,105,35,2019
PSG,22,2,3,68,75,24,2020
PSG,26,4,8,82,86,28,2021
PSG,16,5,1,53,46,18,2022
Juventus,30,5,3,95,86,24,2018
Juventus,28,6,4,90,70,30,2019
Juventus,26,5,7,83,76,43,2020
Juventus,23,9,6,78,77,38,2021
Juventus,12,6,5,42,34,21,2022
